ids,label
35 370 20 8 202 28 77 56 455 49 145 1 6 30 1996 18 2 1881 5178 33 138 609 2 63 5,0
101 2 964 5 690 249 3 8 13 2310 8 13 57 840 67 12 9 2 7666 4 1 5 690 249 23,1
10 68 2 379 6735 5 260 6 621 11 481 16 9 8 13 6306 31 10 28 6 134 7 584 126 58,0
48 35 406 1458 16 46 21 28 233 459 1 6 500 106 8 21 389 22 2722 8 8 13 99 74 254,1
89 5 31 278 13 75 4 174 183 725 132 4 10 230 35 2256 341 211 47 77 15 4 513 5 197,0
11 14 2 252 16 10 219 32 1 3 8 83 1985 2 227 1160 5 8174 3555 10 51 64 103 8 7,0
2 3335 2257 63 273 4 119 52 44 1741 3335 2257 13 1314 117 154 8 1002 9 734 1817 2300 3 1347 8618,1
2 2399 7 35 3872 953 4 1 1249 85 24 64 2 3852 328 5 4 1494 464 19 83 85 29 5 4,1
11 20 772 6 30 99 108 183 31 32 283 1 944 2057 347 2630 4595 756 206 234 1161 1 2 997 280,0
11 16 14 37 4269 266 467 6391 3 10 14 460 2666 6 28 4 50 58 10 32 227 195 10 207 30,0
296 16 7 4 347 523 12 47 77 222 3 1 37 108 218 12 676 207 401 1 113 3 122 2 338,1
7791 3 1 3103 2530 1 13 7669 7 4 7014 755 694 35 2446 724 16 765 2 166 3 4939 5 2 1422,1
1 1 7 29 5 2 2049 20 124 91 9 1391 431 517 34 2 84 153 1 1 11 29 7 2 88,1
61 89 4870 6 2 1 24 4 50 29 10 14 2311 6 167 11 417 759 2 7793 38 7794 4744 384 62,0
29 5 2 88 2740 4135 38 2 452 20 7 9493 2708 144 34 2 1938 2 4330 652 125 1 7331 1 4,1
10 297 11 20 24 67 1030 74 10 194 8 9 4 3133 5 459 104 31 5 62 71 182 379 9 65,0
10 1217 11 20 32 2630 18 331 4475 82 8 2667 209 4 228 1 1 17 2 310 5 286 7564 188 4,0
2 113 7 44 2 324 5 119 411 3514 7 2 29 36 47 6 3770 2 3540 312 2 16 8 735 12,0
124 297 4 16 12 437 2 113 70 11 160 22 60 67 28 29 6 888 17 118 6 888 2 1 2082,0
764 37 11 208 243 5 300 2 5481 5 132 72 141 175 1287 9 1287 45 600 7795 13 105 1581 45 27,1
101 1247 144 11 2765 5 9106 61 626 3 10 3661 716 8 14 163 2 2072 5 35 3039 6 66 716 4,0
8 68 31 2 676 13 5 98 5 11 521 3 57 2238 2 113 426 1370 3 32 2 129 5 2 16,0
11 16 7 444 23 2 267 4 108 1 151 34 8315 1 3 1 1216 5 1342 4328 203 1 3 8039 4,1
5 31 2 104 10 28 109 11 29 2 3686 47 194 6 30 29 5 2 252 250 2 453 2111 2478 1315,0
10 68 566 50 183 44 1653 5 1478 3 372 9 17 35 827 328 10 195 12 489 13 1207 14 764 3,0
11 16 3399 352 18 69 110 1 10 391 2 938 13 3 61 335 782 9 4 3495 10 2753 46 10 894,1
15 4 1 10 138 109 2 16 459 1083 218 9 2 237 1044 155 3 10 64 42 219 2 685 11 1287,1
1 7 35 3688 16 627 64 1824 1478 7 12 8 408 7115 7116 336 17 4 50 179 5 746 152 2 63,0
87 11 20 97 30 7905 15 434 10 28 57 310 46 10 71 304 5182 3 1223 1 10 59 30 265 6,0
5546 1 2 628 3 2 3024 14 4823 34 2 1059 18 814 1659 41 2945 155 371 2 528 7666 53 8 1,1
822 3 1230 4046 2313 4405 62 798 8 13 131 180 78 34 1236 1601 19 1 34 92 1214 1684 56 3 49,0
989 6 2 1 8457 7 29 5 148 356 2387 2112 98 62 4746 7018 146 9 2 1825 3 1678 627 523 7,1
1034 31 99 9 145 117 15 70 15 9 2 98 1067 63 12 536 6 108 187 332 36 25 269 9 4,1
5035 3296 1588 9 450 5 133 359 325 1 18 1 2567 9 2 4300 13 3 2 3557 9108 7 29 5 2,1
10 580 268 10 516 11 15 74 15 10 120 2 8182 570 71 128 73 2113 19 2 1 63 3 92 840,1
2 9497 7679 5 2 6049 1 12 131 1438 1818 4517 59 81 70 6 66 11 16 62 273 2 6741 5 2,0
15 286 47 466 1000 23 11 1701 8 13 54 859 6 93 4 1208 636 8 3611 3371 2863 1636 4781 3338 3558,0
2 3200 28 501 1525 7 48 21 59 548 8 6 30 3 165 52 5 259 8 13 24 168 6 30 35,0
10 1468 31 2 96 144 11 4631 16 8 13 37 1421 4 247 881 43 626 101 108 155 5 1602 47 4,0
57 1034 101 1479 13 1139 89 275 20 6743 444 669 1 1 13 5549 658 5 3584 856 3 4016 26 3748 6,1
10 42 297 2 1 11 2085 260 64 109 8 283 159 44 4 2565 155 577 8 13 24 4 191 16 3,1
48 593 48 72 28 132 7 683 4 1214 3 4138 876 3 17 4 529 3 1027 179 19 1259 2 16 2155,0
10 138 42 297 1 3 10 140 4825 6 66 2 707 157 822 632 18 2 115 24 64 14 2 113 14,0
37 278 13 888 2 16 396 7 15 213 15 8044 13 98 59 629 1005 61 3472 6 66 8 14 428 1,1
1367 110 351 2 135 71 8460 3 448 2 16 772 6 2086 49 243 5 1550 19 1537 1033 17 92 724 48,0
35 1 247 773 7447 3438 6824 216 2429 34 4 3150 125 1739 6116 26 1514 6 2303 43 45 5 4 290 5,0
86 22 1577 4 8968 7 29 5 2313 13 934 3 1151 9 1307 5 63 345 128 104 3 264 24 2 787,1
1 940 1 8045 313 1 5862 78 1857 6482 7798 2 2745 1 5 1 35 442 1 2339 9 572 2910 6 889,0
10 67 39 4894 7911 37 10 14 67 657 53 10 109 11 16 8 160 22 28 74 5 4 113 3 48,0
10 140 24 248 137 2 1168 871 6 3509 23 2 399 5 4 678 1139 16 3091 82 2 417 3279 12 8,0
11 20 1 336 17 49 5 2 88 721 63 425 3 2107 102 124 109 2 554 525 1217 2 1 87 6,0
1 107 7 4 50 16 34 396 19 1087 6 2 213 8 2209 5487 56 583 5487 7 4 514 6651 18 2572,0
1151 11 337 20 1638 2 8796 330 9 2 1 130 7 182 70 91 19 131 4478 196 257 6 2737 2 800,0
10 195 12 1 47 77 1742 414 92 24 42 44 715 40 13 1 5 1294 3588 12 10 103 1 14 265,1
10 230 24 4 5550 341 34 100 798 23 199 7913 44 157 974 1 2 16 646 17 4 130 9 2 528,1
669 800 9303 7235 13 1531 4895 9 3215 10 1415 4 84 614 9 2 1150 4895 1 5 2 2207 737 523 10,0
8 506 6 30 2 1600 1144 5 2 1064 3 17 4 179 39 4450 1 1489 867 3 304 8624 3990 8 67,1
2 237 249 332 705 595 6826 35 9925 404 4 192 3632 2280 889 38 4 3340 1238 81 26 3 27 349 407,1
272 8 14 2 417 41 2 1540 428 24 2 2602 23 2 263 62 7 17 2 153 15 26 975 617 4947,0
2 174 135 12 163 599 4 2767 5 4335 1663 5281 4 1 410 1 1 7452 1 203 4948 1446 53 1 41,0
11 20 551 69 34 840 10 93 8 4 5680 5 1466 45 15 119 15 594 44 104 159 6571 82 4304 3,1
1739 1 7 4 1178 26 7 2 682 5 9115 149 11 16 169 69 226 928 19 8 13 4 84 16 24,1
2 63 7 44 4 4701 247 1 36 1538 6 43 7240 3 805 1 43 8188 1666 509 2 324 5 43 1666,0
435 489 10 202 28 109 11 53 10 14 64 1603 41 4669 86 22 963 87 10 199 28 77 187 19 10,0
1992 853 2392 1 6 215 9 6572 5 4 1396 658 12 47 3518 4374 3 5684 6 27 117 31 444 188 2,0
72 809 11 20 15 4 952 18 4 424 3 97 5 77 258 252 952 6 282 2 20 7 1130 1712 3,0
11 14 239 2 252 16 10 28 124 109 9 61 117 8 14 360 40 14 57 113 3 2 315 5807 71,0
11 7 4 787 8189 658 354 9 12 107 79 36 28 1 49 440 5 1735 1922 6 75 295 462 2 3877,0
435 1 29 5 133 1324 5 2 887 1329 245 98 10 86 22 60 391 87 108 10 138 109 272 8 6399,0
5377 2926 7 818 2 696 491 1 36 13 1025 6 3934 6827 1 19 83 7 4 1 1 3 1098 6 1208,0
347 16 1407 7 2 1 29 9 2 452 178 8 64 731 4 691 571 6 6654 2202 17 2 172 162 603,0
177 1 47 77 9 258 3282 232 8 89 4337 9 1852 232 95 72 28 6486 2 263 3 4 3693 38 431,1
46 21 372 132 8 13 82 21 138 466 109 11 20 3 71 2271 48 405 68 6 134 44 8 10 226,0
7572 7344 9502 3562 3 2043 342 25 287 1281 534 9 11 2146 20 38 5490 62 4218 7572 7344 6 20 1180 8,1
46 244 7 1523 137 57 29 169 98 39 33 330 6 17 2422 105 3 4 579 794 5 1685 2959 6 1,1
10 297 11 208 45 5 3908 1640 6 66 46 33 97 872 3 17 31 11 686 2282 45 81 8625 481 1,0
2252 251 1812 7 2 88 7690 285 1135 581 1 1 9 4 675 17 4 621 4481 2286 3137 9 9 2 399,1
61 477 59 30 11 14 1971 168 6 30 32 227 107 538 3 1354 32 227 4 6576 1166 82 877 87 51,0
70 10 39 6 106 78 184 481 98 1082 10 103 8 13 209 6 66 2770 3 1 5 3519 6 1147 623,0
11 7 2 252 16 10 28 124 109 15 70 15 2 252 12 10 80 239 124 66 10 66 57 362 6,0
10 28 77 4 3379 341 18 15 192 15 10 51 391 10 28 54 4107 1811 5 392 1118 3379 178 15 4,1
11 337 20 12 1606 2 530 6 30 375 1590 785 1 2793 7 4 598 415 12 1 455 728 2331 1 2646,1
764 237 311 6921 9310 3721 10 68 2 5038 1 5 1994 454 1102 1 32 4 804 5 2 20 2 9311 234,0
10 1217 11 432 23 35 1 761 38 1 10 230 1198 10 120 8 14 54 422 2497 6 1846 2999 3 392,1
57 11 3935 514 1435 13 91 18 241 184 1 217 22 44 4 2400 1 3497 1 4108 131 11 4375 370 250,1
8 7 753 6 376 420 9 11 16 604 48 80 556 3 36 80 690 8 7 44 457 353 3 4 125,0
4184 3990 408 9 11 1828 206 115 79 607 34 2772 9 9702 3990 313 4 1 38 1 7130 36 2879 9 347,1
2 240 5 173 285 3 544 9 2 20 25 7460 1284 62 7 48 16 112 143 30 3 2 918 2863 7,1
136 329 2163 2 1336 427 14 650 351 329 2163 2 463 6250 7 979 78 9 11 379 781 2 868 7 23,0
462 309 2582 11 420 8469 2583 47 54 119 9 1105 17 3747 2705 8 13 4 5810 5 4 4048 19 381 2880,1
11 7 2 116 322 37 238 12 21 80 66 3 2 88 291 6 2 1 161 5042 7 4 119 1222 6,1
680 2 79 12 1046 2 146 5 2 883 120 24 1308 6 106 11 37 439 16 33 2059 1 4994 4016 3,0
10 449 5870 13 240 19 12 13 44 2 64 1225 151 10 51 134 266 14 3912 6 2 220 5 6326 88,0
8 13 1311 53 4 158 16 156 22 93 1884 21 48 4 2140 11 20 7 54 351 3 37 192 8 13,0
37 70 91 57 1569 603 47 244 323 77 23 2 3660 1 2995 5 7574 13 1 1935 159 320 930 14 96,1
2 5389 7 35 1345 694 17 450 113 1258 2106 34 105 246 73 329 507 2 362 6 870 315 281 5195 856,1
11 7 29 5 2 2049 98 10 28 124 109 2 4677 1297 2 6392 2 4564 1 79 3156 522 65 2184 4,1
270 9 2 1 2 340 289 5 2 679 6925 5127 101 2 2599 5 2558 1 11 20 2079 2 628 1663 203,1
629 10 140 4 228 5 4 341 5 2 78 3723 420 9315 20 2018 147 47 1 19 11 20 7 37 950,0
10 28 147 109 180 4 174 104 34 1 1 1 19 11 59 28 6 30 2 88 1337 37 238 11 20,0
10 2991 516 4523 1 13 658 2 8325 3591 3 10 14 6926 6 66 40 14 4 16 322 4 247 5689 4,0
11 16 216 4 157 82 40 7 4 171 5 573 9 8 36 2102 44 2 113 41 2 112 11 7 35,1
6578 3078 392 4415 2392 3521 13 2745 1 36 1 4 119 4634 23 43 1456 7 406 390 9 11 20 55 5814,1
4 1104 684 153 7 1672 6 2 320 1856 3 1 8470 34 27 967 2808 2 1237 6 2867 27 1125 38 27,0
3407 423 2 3915 4 58 5 1 3 7790 2559 3 4 2695 5 76 204 408 3156 9 4 2653 2333 3609 242,0
11 811 444 23 107 4453 1860 6251 1200 2 767 5 2 333 5 1 847 5 324 6000 7 163 180 1003 38,1
10 230 37 667 3 741 12 40 7 37 74 614 9 11 16 668 4565 14 61 2844 85 2 104 1029 3,0
7576 5 2 1291 1566 12 260 2 172 153 1 3 1 35 310 156 22 2794 93 6052 3580 1521 2 1 1177,0
2 4741 25 6660 6 69 2 1183 436 7 12 11 1806 1268 7 99 3565 18 353 10 230 764 17 133 311,0
11 16 14 29 5 2 116 98 12 10 28 109 11 289 10 160 22 66 100 3639 9 2 16 19 8,1
10 391 321 11 20 9 2 1765 938 13 195 8 4 70 1821 3 70 891 415 10 147 161 180 398 9,1
107 620 577 10 14 149 11 520 16 62 7925 69 17 92 1 1231 8 7 180 4484 87 8 389 2 4186,1
3522 18 904 3424 11 7 142 4 653 3317 1103 232 26 182 74 47 6 1616 8 1 7 2 63 5 359,1
2 6053 1 7 1 3380 23 2 883 25 21 4378 69 11 20 7 4 611 2051 53 10 140 1 3 141,0
11 16 273 4 4999 5 421 1800 1 5 35 1800 377 1 34 4 8977 3 377 92 2476 3077 123 10 121,0
244 36 1242 1 6331 4678 3712 1 3 6328 1 1 4 997 5 50 152 202 30 3452 139 10 207 114 6,0
11 20 97 28 77 4 529 150 93 3 8807 666 8 772 41 1515 581 772 1 1027 152 295 17 4 1139,0
10 167 8 54 1655 12 867 1 2217 3031 13 788 3 2 3016 5 133 353 59 4784 2 1 6 93 191,1
977 5732 418 49 941 2004 28 814 414 4 658 6752 23 11 429 8 13 42 35 162 1738 13 241 115 11,0
10 42 297 11 16 23 8 13 1 311 45 5 3908 3 1885 4242 10 449 24 441 1 1 15 4 526,1
10 1035 11 20 23 1 23 1949 8 2667 39 8 59 30 4 50 20 4 887 1359 3204 10 51 22 134,0
159 10 888 278 69 75 139 123 61 3671 10 140 4 643 341 5 304 1 89 20 1103 1 2 20 4,0
1 3561 13 20 5096 8475 1 4 976 7244 5096 8475 455 2 887 1960 9 296 3059 6661 1 1 9317 1 3,0
101 2355 44 751 1 13 1 953 18 31 5 61 117 10 140 147 9509 19 111 260 342 2 267 10 230,0
11 1052 1289 337 902 107 713 7930 2647 1 3 1733 1733 7 2 9127 1055 1 410 38 2 3524 36 111 2442,1
10 42 194 146 38 11 889 2820 3 11 1 1813 1103 7 2 926 177 252 20 10 138 109 11 289 419,0
10 391 321 11 20 9 2 779 9 5139 53 10 14 1083 155 162 21 81 2 1 10 406 441 8 10,1
4 234 7 3672 144 2 1765 1201 40 13 8809 1171 1088 1 27 967 1 1 1 3 1171 13 119 542 1898,1
4992 1861 5873 1046 3 517 11 7580 917 63 5 4 1025 247 13 2595 38 43 626 3 2 608 12 397 2,1
11 16 14 24 54 70 517 33 212 460 1 2 267 10 477 33 71 265 233 584 58 2 64 5867 233,0
2 6584 18 11 20 47 211 77 44 2 2810 2951 12 93 1633 5393 4188 1038 33 2183 40 33 143 28 3741,0
4 187 245 497 4 296 58 5005 13 7138 4822 3 53 26 5433 32 296 13 129 1030 286 4 228 52 1267,1
11 16 7 4 403 1316 5 2 581 487 1 1 313 2 223 5 810 4455 1 12 5 5286 3 1 2,0
583 4607 13 9129 170 1 903 38 8059 1 13 267 1 14 4114 32 2 58 5 92 750 19 9 2 509,0
48 467 32 89 42 164 1 679 487 3642 57 52 73 1 5395 936 18 69 23 340 800 4 2033 6004 3,1
10 86 22 103 10 138 124 508 139 4 317 157 632 19 11 29 727 216 2 1 10 167 8 249 42,0
9 2 1265 621 11 7 4 2644 370 16 190 8 5048 4 730 403 574 23 2 4012 206 2266 10 51 103,0
38 2 20 13 89 318 8635 6499 15 2624 1 4900 886 144 4 1980 32 3139 1354 1 31 2 676 13 431,0
10 138 211 516 104 12 5855 117 15 8 7 117 515 47 351 1 57 145 113 3 24 2794 4 667 276,1
2 63 7 54 1 3 960 2 1809 492 5 2 16 7 180 483 60 2 918 5 8 2 288 436 7,0
11 16 14 24 37 74 6495 132 9 1 60 154 8 194 50 152 84 225 3 246 50 8332 14 24 4,1
791 332 47 194 6 30 2 7582 20 10 138 124 109 19 48 4 20 10 195 8 14 2810 319 3 1176,1
21 121 12 1 2050 118 2 214 47 4 1587 375 5 1 41 865 8 7 3 26 13 265 67 249 6,0
10 51 22 268 8 12 14 2 252 16 10 28 124 109 9 61 117 10 1468 4 363 5 218 239 82,0
11 7 29 5 4 1 5 98 118 308 5 4 6254 5 3754 29 143 106 8 17 4 4243 5 1 6,0
60 154 10 140 180 187 2 5504 25 61 406 1934 1051 10 111 68 2 589 6 851 65 210 15 8 14,1
35 275 2712 9 1313 68 49 158 538 19 11 29 217 22 37 50 2 1196 8198 25 42 370 2 2255 7,0
1971 10 14 4 1 207 341 5 65 89 4556 3 1920 8978 6 4 174 4190 123 2 1427 672 207 3 14,1
11 7 42 29 52 5 148 4526 104 12 21 167 23 2531 241 62 2086 2 1 1925 5 49 2087 247 9,0
2 876 5 11 16 14 529 196 19 17 1360 2113 112 8 14 42 1999 3 732 1034 2 20 127 24 161,0
2 458 5 2 9515 539 123 17 35 3235 1902 5 1313 15 4 1 511 5 3186 9117 2083 3 4901 10 14,0
10 51 22 6829 8 196 81 24 75 11 16 18 2 357 18 12 513 21 207 116 3285 2 1517 38 8,0
7 165 323 23 241 25 21 67 1104 70 95 106 1 2182 190 86 22 802 8 3 412 81 24 761 8,0
2 4558 636 86 22 106 11 16 46 21 150 35 1 121 31 1364 5 6935 11 74 348 73 29 7679 1,1
9 4843 17 2 964 5 2 89 924 5 1414 2 1289 208 3110 1177 1 2 718 1919 18 2 571 115 17,1
10 103 11 16 14 438 6 30 1551 19 2 64 96 9 62 8 7 844 1551 7 87 1551 947 8 13,0
137 51 22 4 16 30 1154 4 1642 41 60 4 1658 625 49 98 142 15 1394 2855 38 3256 719 25 37,0
11 16 551 69 34 840 2 602 1073 698 902 1814 222 838 101 12 72 150 1 85 4 2293 879 354 1,1
154 10 207 566 12 1 907 1 14 2 252 7937 16 5 2 2110 10 297 8 734 8 4 589 101 31,0
35 3324 953 38 2 4693 5 2 976 5 1 3 2 1419 159 58 11 14 4 54 1355 7472 992 10 391,1
11 16 14 4 2098 15 4 206 3 4 20 9 826 8 14 4 54 552 1821 16 12 467 6 30 265,0
8 7 37 1 6 66 29 84 415 5 504 9948 85 164 200 1 41 1 10 68 57 477 15 6 87,1
11 16 7 54 1110 250 1143 17 213 744 3 613 102 8 47 29 5 2 88 710 570 3 7 54 291,0
2 251 47 402 215 18 69 6 2218 2 1 5 1 13 1992 15 35 3479 1 5 43 105 3 2 2232,0
11 47 6 30 2 252 415 5 1199 10 138 109 9 4 136 6936 7589 7 4 1 26 587 9519 10 660,0
4 54 1740 91 18 241 2072 1 1032 6 30 4 582 5810 136 1 2 395 5 4605 18 937 733 1 144,0
10 140 248 839 9 2 1 5 668 4782 328 2 105 5 1 1 7 406 598 19 57 8 217 22 21,0
10 739 22 342 2 1648 5626 658 12 11 16 14 444 23 19 36 666 272 886 2 267 7 8318 73 2746,1
136 10 1614 547 15 4 341 5 2 1 459 684 208 2 213 16 12 1672 2 208 14 4 861 378 264,0
4531 1 508 11 20 4 1 1942 632 9 27 3726 16 3 384 3410 48 20 14 26 257 32 526 4344 41,1
10 86 22 268 40 47 124 77 4 52 442 41 3205 684 2041 6 880 9 2 2395 1653 15 2 1 1381,0
46 21 660 6 66 1752 13 953 9 92 6306 10 1457 21 167 11 2186 322 844 8 7 5819 32 671 3,1
2 1881 1292 7 2 63 5 4 1 234 13 1262 38 2 162 178 2766 6 2 170 178 848 1 4 652,1
8984 119 429 255 1395 18 878 19 17 1031 1 5 755 850 4 9953 47 1 5146 4 1858 177 2560 23 92,1
10 68 159 4 546 5 1 18 31 1621 104 19 101 321 11 20 10 739 22 11 7 4 984 953 91,1
10 297 2237 9 2 938 13 3 8 13 3685 804 23 1676 357 9 2 2242 54 528 32 311 10 391 531,0
8811 706 8811 1525 1206 8811 4082 1 379 60 154 10 59 114 6 1240 56 18 11 20 10 180 327 51 22,0
2930 1 766 289 162 1 507 85 7475 6848 4957 289 162 1 36 850 186 2430 6 1 459 155 27 7032 147,0
1 2416 1 36 59 141 23 6 329 9 2 84 481 16 464 1 38 3256 719 4345 6 358 287 652 2129,0
46 21 394 1 1278 2255 45 5 8 11 20 7 163 180 422 8 13 194 204 1144 3 856 3 29 5,1
2 20 942 216 6 4 663 1224 130 17 124 7813 3181 2 89 67 78 151 7 2 214 1 1950 2000 59,0
209 3 337 684 16 4014 49 5 2 1 3106 3019 7251 13 9328 6662 15 2695 5 2 4712 115 20 7 3685,0
100 20 44 2811 91 312 2811 34 4 692 354 1090 47 57 1583 251 1 9 61 673 1 2 1 5 37,1
4 520 184 20 1276 2817 3 54 635 99 2 151 7 4 1023 38 304 2257 19 601 81 24 278 12 269,1
10 406 114 11 20 266 44 8 8 212 456 39 149 69 3 61 349 23 256 2 96 11 16 14 747,1
57 29 51 134 10 299 22 2589 15 10 28 342 2 812 193 4192 9329 19 39 88 5 181 3299 6 184,0
4 170 96 6 368 7942 13 161 7474 3 1 2162 461 6 66 27 161 9 1336 149 7942 1684 27 1200 29,1
46 21 449 1001 1 9 1 13 3089 26 1 27 105 15 86 2301 9 2696 1456 11 7 4 54 861 3476,0
10 28 109 88 46 24 31 5 2 3267 3045 356 104 10 28 211 516 40 2997 1 60 101 149 8 122,0
10 42 646 149 2 115 188 5695 10 262 8 34 1444 10 14 1244 4480 312 4 3028 8 7 4 84 115,1
11 20 7 70 179 398 693 3 211 158 4714 3 3521 161 65 4339 718 1350 6 3148 9957 1 7 42 4,1
10 28 42 361 4 157 18 6061 6200 10 748 11 18 107 1004 29 6 1833 10 140 24 4 1 36 64,0
11 16 14 379 2 113 14 379 3 1421 10 580 373 11 16 118 120 11 16 215 38 11 16 14 24,0
10 2100 3113 11 115 10 387 39 683 294 32 12 382 7 403 3 987 3 10 784 4 6762 382 59 166,0
1785 10 86 22 39 208 32 31 33 150 31 6 721 3 33 2419 6 430 351 3 732 54 733 133 208,1
3889 4450 22 11 14 489 370 10 1815 9 2 779 18 18 35 518 3 712 224 3 10 195 10 14 168,0
11 16 7 200 4 784 4 403 157 157 18 31 21 79 45 40 36 25 632 11 20 359 1 82 8,1
10 219 11 32 2 1313 20 1410 237 311 680 2 5438 322 595 1 13 2493 5 2 1608 5 2 20 7,1
10 51 22 268 11 16 1320 6 75 142 4 2352 316 632 5 1083 8 7 1130 1712 3 3776 351 428 29,0
11 16 67 9331 69 56 39 8 6125 56 2 288 898 105 5 11 1 279 16 38 27 117 9137 11 214,1
1338 1775 5630 175 2 197 12 11 16 14 91 143 201 100 187 6137 20 2455 451 100 901 21 236 28 195,0
11 2214 4 334 839 179 19 18 4 694 21 128 1756 52 73 399 152 3 723 2 89 884 5 11 16,0
10 103 11 16 47 194 8 31 8 47 67 613 210 12 10 51 111 75 45 5 61 407 8 47 613,1
1841 1633 6673 4793 581 32 2 316 382 9 4 388 6484 511 26 7 402 377 1025 6 3241 1993 4117 74 6,1
53 2 602 318 7 1149 13 8649 623 1 2 1149 13 6258 4 16 47 4 1222 1152 1459 19 486 8 14,0
72 629 103 5 2 692 15 2 7044 32 8651 84 1144 38 2 1 565 17 2 1213 5 2 671 1 5942,1
10 68 77 257 931 6 321 1 18 180 4 136 48 17 31 8 13 1 812 7023 3 1940 699 3 10,0
29 5 9961 13 5940 3 8653 337 104 1101 4 3242 806 9 1671 5 35 4573 101 1627 1289 34 2 3350 5,1
334 105 943 9 4 182 613 1 110 4 898 10 140 239 24 1 6 460 380 8 19 33 81 4 334,1
1 2728 4 2534 1 4 906 1 2011 3 2869 6850 4 465 8986 3 2 1572 5 1150 382 534 32 2 926,1
10 14 54 2003 6 66 11 20 15 176 5 2 8988 2007 20 1410 2970 64 4 174 473 577 10 202 980,1
11 16 7 67 78 88 5 8 293 39 8 14 747 355 9 4 1228 41 4 3169 40 13 4 1304 3851,0
10 103 11 7 29 572 5 4 16 72 51 66 1950 1022 188 17 27 1868 504 510 175 3 39 9 31,1
10 219 11 16 9 2 779 3 14 1644 1443 34 8 95 175 12 14 53 3779 5631 14 4 50 544 24,1
10 138 109 11 20 1162 122 1133 218 8 13 406 9730 2955 17 715 1835 1 409 4 4226 240 15 4 341,1
2 287 288 102 25 31 4872 3 250 21 64 226 736 18 29 5 94 1 5085 4090 6 1 11 14 176,1
8209 8655 89 5186 23 2 191 256 14 4 864 29 55 735 39 4 1366 1 386 1 3142 3 1 19 6473,1
11 432 3567 745 31 37 238 10 68 2 3089 5 392 1776 23 1 37 2 2951 71 67 50 2 540 112,1
11 16 7 24 274 231 10 387 46 21 189 6 106 11 243 5 510 7815 6 347 98 11 460 7 4,0
11 7 250 164 903 44 4 5054 6203 6142 257 6 3647 45 388 1 3 8073 8 13 428 31 77 222 159,1
680 2 1 125 7 44 4 214 36 6851 2 1419 3535 273 5 563 1 15 4 96 5 1 17 27 5231,0
11 16 14 406 1187 4 4754 901 3 558 5 100 63 42 314 69 149 287 5151 1 122 7045 6744 32 218,0
10 226 2 1 3342 10 226 126 1 1464 139 2682 22 198 794 612 414 34 481 1496 3756 38 1 600 3370,1
11 16 1002 3790 23 173 651 10 28 35 310 278 13 185 294 562 9 11 16 3 1328 94 85 4 866,0
423 10 229 134 159 10 378 6752 11 16 7 950 2360 6194 1769 7 84 9 43 223 5 2716 1 15 7,1
444 23 4 4453 5626 1 658 32 2 704 13 1787 1594 119 52 73 798 6 1026 3 201 126 1081 4 374,0
10 28 109 11 20 32 227 1133 218 3 10 230 131 2311 34 8 2 112 7 403 3 2 856 203 896,1
11 115 169 406 57 290 173 1287 107 2084 141 6 35 3956 6 81 49 1 3 173 1287 200 1954 33 850,0
11 16 14 37 78 8 14 158 18 4906 40 10 195 10 14 163 149 4 1859 5 4 78 16 4 1063,0
